"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","journal","book","univers","use","librari","pleas","net","follow","librari","book"
"2","research","librari","librarian","softwar","univers","dear","ugc","answer","inform","paper"
"3","scienc","work","ugc","data","india","librari","paper","code","servic","publish"
"4","publish","read","post","comput","associ","profession","question","classif","scienc","librari"
"5","intern","time","colleg","koha","indian","regard","answer","true","manag","author"
"6","paper","make","candid","user","public","lis","exam","correct","librarian","titl"
"7","inform","student","applic","system","award","inform","result","book","resourc","inform"
"8","articl","one","date","current","nation","thank","mark","catalogu","digit","chapter"
"9","review","like","year","access","delhi","kind","june","fals","develop","copi"
"10","librari","also","assist","web","prof","know","option","index","research","lis"
