"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","net","dear","india","librarian","librari","use","librari","journal","librari","librari"
"2","ugc","pleas","download","univers","univers","softwar","inform","scienc","book","iii"
"3","paper","profession","indian","colleg","inform","librari","research","intern","will","inform"
"4","candid","librari","award","post","india","access","paper","publish","work","answer"
"5","question","lis","name","librari","associ","user","manag","inform","read","follow"
"6","exam","thank","person","cours","scienc","comput","scienc","librari","student","classif"
"7","answer","regard","educ","applic","prof","data","digit","research","time","code"
"8","mark","kind","teacher","ugc","librarian","koha","publish","current","librarian","correct"
"9","will","friend","world","year","nation","web","author","engin","one","true"
"10","result","know","year","assist","delhi","system","resourc","affair","make","book"
